Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,threshold
Pdpr,278.1116019985775,5.1762171118103275,0.6723720402364961,2.408766257738789e-15,2.336745357067705e-13,TRUE
Aff2,19.602995838728948,5.175880078368917,2.374325455361185,2.5707279319645953e-4,0.001365279304720124,TRUE
Pax5,39.74852814548577,5.169132024896631,2.756544257671113,6.996742885348071e-4,0.003182113690588501,TRUE
4932441J04Rik,7.569849557308342,5.143953650410196,2.511766062690999,4.3098615921581556e-4,0.002119253133892338,TRUE
Gm49745,13.964364124633532,5.143441856907134,2.553997991697305,4.893550529172193e-4,0.00236174982414173,TRUE
Cyp2f2,119915.00666417777,5.127932884993043,0.6698066561762205,5.859192601832718e-16,6.897055681608575e-14,TRUE
Fzd10,11.163350859191143,5.089525386418412,2.5498832503213684,5.275928421299823e-4,0.00251237785331014,TRUE
Gm49654,124.4214672576121,5.082351756140468,0.7843916328672622,2.912605427002281e-11,1.0167784406560404e-9,TRUE
Dchs2,34.2897271507113,5.076795386972402,2.407455437636754,3.52445599153031e-4,0.0017858168744486257,TRUE
Lypd6,12.451326983869363,5.071344523131449,2.3363639607814894,2.6633417751217354e-4,0.0014071879410690038,TRUE
Kcna6,14.151894316665244,5.060534743817836,2.5226225715169415,5.134197772662974e-4,0.0024533586138925424,TRUE
Rps6ka6,11.76295215692607,5.059381507804358,2.407770520076154,3.587342976365536e-4,0.001814163989601962,TRUE
Gm49032,10.366060054526802,5.045682054875832,2.8641184804913125,0.0010368095227606456,0.00442333874848492,TRUE
9930111J21Rik2,87.87854337079982,5.045554340285154,1.4844434631510413,2.1580318246989063e-4,0.0011715636776100222,TRUE
1700018L02Rik,13.430544862458513,5.006409511537482,2.220141688336838,1.7951652911890763e-4,0.001000163519376771,TRUE
Gm37273,9.448598723125444,5.001274189046661,2.8028384747531025,0.0010126039127072602,0.004343845912467759,TRUE
Gm44645,15.576654313591632,5.001045853030506,2.389042750838303,3.787157316896365e-4,0.0018987278202845092,TRUE
Fcer1a,11.925463218711725,4.9712898801017795,3.501431374100861,0.0018074152636309928,0.007031872564368463,TRUE
Evc2,274.2074002217976,4.958159296300852,0.8835661817839063,1.1005893661975962e-9,2.6393636912353532e-8,TRUE
A930037H05Rik,13.756859139292983,4.919085902026665,2.3665548362169573,4.06794042301005e-4,0.0020193260443869634,TRUE
Gm38394,405.3847211509363,4.9182361139450474,0.7943831056457195,3.6404583129104315e-11,1.2265104316009752e-9,TRUE
D7Ertd443e,9.153996898694539,4.898740503498091,2.599318592209067,7.957409650744738e-4,0.0035485745739807614,TRUE
Lgr6,370.3046360726035,4.891547318451479,1.1329319393845767,3.8556111859891905e-7,4.7652095995852315e-6,TRUE
Ighv14-2,42.23589496022724,4.888777644819403,3.381655219194836,0.0016273442833434476,0.006436361686118676,TRUE
Kcna2,29.31692302653238,4.85128688606753,2.623458778190318,8.560589887850135e-4,0.0037722480663078487,TRUE
Klhl38,267.0723750294077,4.840412062778656,0.497086589589889,6.005366482160358e-23,4.830566664087738e-20,TRUE
A230103J11Rik,12.760391734152568,4.839700585131212,2.2705876550277577,3.300211822165219e-4,0.0016876977278648887,TRUE
